name,latitude,longitude
004250.798,0.4840885,0.0995301
004251.798,0.4840885,0.0995301
004252.798,0.4840885,0.0995301
004253.798,0.4840885,0.0995301
004254.798,0.4840885,0.0995301
004255.798,0.4840885,0.0995301
004256.798,0.4840885,0.0995301
004257.798,0.4840885,0.0995301
004258.798,0.4840885,0.0995301
004259.798,0.4840885,0.0995301
004300.798,0.4840885,0.0995301
004301.798,0.4840885,0.0995301
004302.798,0.4840885,0.0995301
004303.798,0.4840885,0.0995301
004304.798,0.4840885,0.0995301
004305.798,0.4840885,0.0995301
004306.798,0.4840885,0.0995301
004307.798,0.4840885,0.0995301
004308.798,0.4840885,0.0995301
004309.798,0.4840885,0.0995301
004310.798,0.4840885,0.0995301
004311.798,0.4840885,0.0995301
004312.798,0.4840885,0.0995301
004313.798,0.4840885,0.0995301
004314.798,0.4840885,0.0995301
004315.798,0.4840885,0.0995301
004316.798,0.4840885,0.0995301
004317.798,0.4840885,0.0995301
004318.798,0.4840885,0.0995301
004319.798,0.4840885,0.0995301
004320.798,0.4840885,0.0995301
004321.798,0.4840885,0.0995301
004322.798,0.4840885,0.0995301
004323.798,0.4840885,0.0995301
004324.798,0.4840885,0.0995301
004325.798,0.4840885,0.0995301
004326.798,0.4840885,0.0995301
004327.798,0.4840885,0.0995301
004328.798,0.4840885,0.0995301
004329.798,0.4840885,0.0995301
004330.798,0.4840885,0.0995301
004331.798,0.4840885,0.0995301
004332.798,0.4840885,0.0995301
004333.798,0.4840885,0.0995301
004334.798,0.4840885,0.0995301
004335.798,0.4840885,0.0995301
004336.798,0.4840885,0.0995301
004337.798,0.4840885,0.0995301
004338.798,0.4840885,0.0995301
004339.798,0.4840885,0.0995301
004340.798,0.4840885,0.0995301
004341.798,0.4840885,0.0995301
004342.798,0.4840885,0.0995301
004343.798,0.4840885,0.0995301
004344.798,0.4840885,0.0995301
004345.798,0.4840885,0.0995301
004346.798,0.4840885,0.0995301
004347.798,0.4840885,0.0995301
004348.798,0.4840885,0.0995301
004349.798,0.4840885,0.0995301
004350.798,0.4840885,0.0995301
004351.798,0.4840885,0.0995301
004352.798,0.4840885,0.0995301
004353.798,0.4840885,0.0995301
004354.798,0.4840885,0.0995301
004355.798,0.4840885,0.0995301
004356.798,0.4840885,0.0995301
004357.798,0.4840885,0.0995301
004358.798,0.4840885,0.0995301
004359.798,0.4840885,0.0995301
004400.798,0.4840885,0.0995301
004401.798,0.4840885,0.0995301
004402.798,0.4840885,0.0995301
004403.798,0.4840885,0.0995301
004404.798,0.4840885,0.0995301
004405.798,0.4840885,0.0995301
004406.798,0.4840885,0.0995301
004407.798,0.4840885,0.0995301
004408.798,0.4840885,0.0995301
004409.798,0.4840885,0.0995301
004410.798,0.4840885,0.0995301
004411.798,0.4840885,0.0995301
004412.798,0.4840885,0.0995301
004413.798,0.4840885,0.0995301
004414.798,0.4840885,0.0995301
004415.798,0.4840885,0.0995301
004416.798,0.4840885,0.0995301
004417.798,0.4840885,0.0995301
004418.798,0.4840885,0.0995301
004419.798,0.4840885,0.0995301
004420.798,0.4840885,0.0995301
004421.798,0.4840885,0.0995301
004422.798,0.4840885,0.0995301
004423.798,0.4840885,0.0995301
004424.798,0.4840885,0.0995301
004425.798,0.4840885,0.0995301
004426.798,0.4840885,0.0995301
004427.798,0.4840885,0.0995301
004428.798,0.4840885,0.0995301
004429.798,0.4840885,0.0995301
004430.798,0.4840885,0.0995301
004431.798,0.4840885,0.0995301
004432.798,0.4840885,0.0995301
004433.798,0.4840885,0.0995301
004434.798,0.4840885,0.0995301
004435.798,0.4840885,0.0995301
004436.798,0.4840885,0.0995301
004437.798,0.4840885,0.0995301
004438.798,0.4840885,0.0995301
004439.798,0.4840885,0.0995301
004440.798,0.4840885,0.0995301
004441.798,0.4840885,0.0995301
004442.798,0.4840885,0.0995301
004443.798,0.4840885,0.0995301
004444.798,0.4840885,0.0995301
004445.798,0.4840885,0.0995301
004446.798,0.4840885,0.0995301
004447.798,0.4840885,0.0995301
004448.798,0.4840885,0.0995301
004449.798,0.4840885,0.0995301
004450.798,0.4840885,0.0995301
004451.798,0.4840885,0.0995301
004452.798,0.4840885,0.0995301
004453.798,0.4840885,0.0995301
004454.798,0.4840885,0.0995301
004455.798,0.4840885,0.0995301
004456.798,0.4840885,0.0995301
004457.798,0.4840885,0.0995301
004458.798,0.4840885,0.0995301
004459.798,0.4840885,0.0995301
004500.798,0.4840885,0.0995301
004501.798,0.4840885,0.0995301
004502.798,0.4840885,0.0995301
004503.798,0.4840885,0.0995301
004504.798,0.4840885,0.0995301
004505.798,0.4840885,0.0995301
004506.798,0.4840885,0.0995301
004507.798,0.4840885,0.0995301
004508.798,0.4840885,0.0995301
004509.798,0.4840885,0.0995301
004510.798,0.4840885,0.0995301
004511.798,0.4840885,0.0995301
004512.798,0.4840885,0.0995301
004513.798,0.4840885,0.0995301
004514.798,0.4840885,0.0995301
004515.798,0.4840885,0.0995301
004516.798,0.4840885,0.0995301
004517.798,0.4840885,0.0995301
004518.798,0.4840885,0.0995301
004519.798,0.4840885,0.0995301
004520.798,0.4840885,0.0995301
004521.798,0.4840885,0.0995301
